game	team	conference	location	result
394	CHA	East	Away	Win
394	OKC	West	Home	Loss
395	POR	West	Away	Loss
395	GS	West	Home	Win
396	TOR	East	Away	Loss
396	LAC	West	Home	Win
397	ATL	East	Away	Loss
397	CLE	East	Home	Win
398	DEN	West	Away	Win
398	DET	East	Home	Loss
399	LAL	West	Away	Loss
399	NY	East	Home	Win
400	WAS	East	Away	Loss
400	BKN	East	Home	Win
401	PHI	East	Away	Win
401	MIN	West	Home	Loss
402	SA	West	Away	Loss
402	DAL	West	Home	Win
403	PHO	West	Away	Loss
403	SAC	West	Home	Win
404	OKC	West	Away	Win
404	IND	East	Home	Loss
405	LAC	West	Away	Win
405	ORL	East	Home	Loss
406	MEM	West	Away	Loss
406	WAS	East	Home	Win
407	DEN	West	Away	Loss
407	BOS	East	Home	Win
408	POR	West	Away	Win
408	MIA	East	Home	Loss
409	UTA	West	Away	Loss
409	CHI	East	Home	Win
410	MIL	East	Away	Loss
410	NO	West	Home	Win
411	TOR	East	Away	Win
411	PHO	West	Home	Loss
412	CHA	East	Away	Loss
412	HOU	West	Home	Win
413	DET	East	Away	Win
413	ATL	East	Home	Loss
414	NY	East	Away	Win
414	BKN	East	Home	Loss
415	LAL	West	Away	Loss
415	CLE	East	Home	Win
416	SAC	West	Away	Loss
416	MIN	West	Home	Win
417	DAL	West	Away	Loss
417	GS	West	Home	Win
418	MIA	East	Away	Win
418	CHA	East	Home	Loss
419	DET	East	Away	Win
419	IND	East	Home	Loss
420	POR	West	Away	Win
420	ORL	East	Home	Loss
421	OKC	West	Away	Win
421	PHI	East	Home	Loss
422	LAC	West	Away	Loss
422	WAS	East	Home	Win
423	UTA	West	Away	Win
423	BOS	East	Home	Loss
424	BKN	East	Away	Loss
424	TOR	East	Home	Win
425	ATL	East	Away	Loss
425	MEM	West	Home	Win
426	CHI	East	Away	Win
426	MIL	East	Home	Loss
427	NO	West	Away	Loss
427	DEN	West	Home	Win
428	SA	West	Away	Loss
428	HOU	West	Home	Win
429	POR	West	Away	Win
429	CHA	East	Home	Loss
430	UTA	West	Away	Loss
430	CLE	East	Home	Win
431	OKC	West	Away	Loss
431	NY	East	Home	Win
432	MIL	East	Away	Loss
432	HOU	West	Home	Win
433	LAC	West	Away	Loss
433	MIA	East	Home	Win
434	PHO	West	Away	Win
434	MIN	West	Home	Loss
435	DAL	West	Away	Loss
435	SA	West	Home	Win
436	BOS	East	Away	Win
436	MEM	West	Home	Loss
437	SAC	West	Away	Loss
437	TOR	East	Home	Win
438	ORL	East	Away	Loss
438	DET	East	Home	Win
439	IND	East	Away	Win
439	BKN	East	Home	Loss
440	CLE	East	Away	Win
440	WAS	East	Home	Loss
441	NY	East	Away	Loss
441	CHA	East	Home	Win
442	BOS	East	Away	Win
442	IND	East	Home	Loss
443	MIA	East	Away	Loss
443	ATL	East	Home	Win
444	PHI	East	Away	Loss
444	CHI	East	Home	Win
445	UTA	West	Away	Loss
445	HOU	West	Home	Win
446	POR	West	Away	Loss
446	MIN	West	Home	Win
447	DEN	West	Away	Loss
447	OKC	West	Home	Win
448	PHO	West	Away	Win
448	DAL	West	Home	Loss
449	LAC	West	Away	Loss
449	SA	West	Home	Win
450	GS	West	Away	Win
450	LAL	West	Home	Loss
451	SAC	West	Away	Win
451	PHI	East	Home	Loss
452	NO	West	Away	Loss
452	WAS	East	Home	Win
453	CLE	East	Away	Loss
453	MIL	East	Home	Win
454	TOR	East	Away	Win
454	CHA	East	Home	Loss
455	IND	East	Away	Win
455	ATL	East	Home	Loss
456	MIA	East	Away	Win
456	BOS	East	Home	Loss
457	SAC	West	Away	Win
457	BKN	East	Home	Loss
458	ORL	East	Away	Loss
458	CHI	East	Home	Win
459	LAL	West	Away	Win
459	HOU	West	Home	Loss
460	UTA	West	Away	Loss
460	OKC	West	Home	Win
461	DET	East	Away	Loss
461	DAL	West	Home	Win
462	MIN	West	Away	Win
462	DEN	West	Home	Loss
463	SA	West	Away	Win
463	POR	West	Home	Loss
464	MEM	West	Away	Loss
464	GS	West	Home	Win
465	PHO	West	Away	Loss
465	LAC	West	Home	Win
466	CHI	East	Away	Loss
466	CLE	East	Home	Win
467	TOR	East	Away	Win
467	PHI	East	Home	Loss
468	BOS	East	Away	Loss
468	NY	East	Home	Win
469	MEM	West	Away	Loss
469	PHO	West	Home	Win
470	SA	West	Away	Loss
470	UTA	West	Home	Win
471	NY	East	Away	Loss
471	DET	East	Home	Win
472	NO	West	Away	Win
472	ORL	East	Home	Loss
473	WAS	East	Away	Loss
473	BKN	East	Home	Win
474	LAC	West	Away	Win
474	HOU	West	Home	Loss
475	DAL	West	Away	Loss
475	MIA	East	Home	Win
476	CHA	East	Away	Loss
476	MIL	East	Home	Win
477	ATL	East	Away	Loss
477	OKC	West	Home	Win
478	DEN	West	Away	Win
478	POR	West	Home	Loss
479	LAL	West	Away	Loss
479	GS	West	Home	Win
480	PHI	East	Away	Loss
480	TOR	East	Home	Win
481	MIL	East	Away	Loss
481	CHA	East	Home	Win
482	BKN	East	Away	Loss
482	IND	East	Home	Win
483	ORL	East	Away	Loss
483	WAS	East	Home	Win
484	DAL	West	Away	Loss
484	ATL	East	Home	Win
485	CHI	East	Away	Loss
485	BOS	East	Home	Win
486	LAC	West	Away	Loss
486	MEM	West	Home	Win
487	NO	West	Away	Win
487	MIA	East	Home	Loss
488	OKC	West	Away	Win
488	UTA	West	Home	Loss
489	DEN	West	Away	Win
489	GS	West	Home	Loss
